Class,DescriptionOfClass,BusinessName,Location 2
A     ,Beer on sale,BERNIE'S PIZZA PARLOR               ,"5092 SO 136TH ST
OMAHA, NE
(41.20550407920473, -96.12171547859421)"
A     ,Beer on sale,CHICAGO DAWG HOUSE                  ,"3113 108TH STREET
OMAHA, NE
(41.23041328010641, -96.08145399103994)"
A     ,Beer on sale,ELMWOOD GOLF COURSE                 ,"6232 PACIFIC STREET
OMAHA, NE
(41.24875638792781, -96.00775922552293)"
A     ,Beer on sale,GODFATHER'S PIZZA                   ,"2851 168 STREET
OMAHA, NE
(41.23218172742816, -96.17675886776945)"
A     ,Beer on sale,GODFATHER'S PIZZA #28025            ,"5010 GROVER STREET
OMAHA, NE
(41.227016829708006, -95.99064980519812)"
A     ,Beer on sale,GODFATHER'S PIZZA #28033            ,"3141 108TH ST
OMAHA, NE
(41.23025363352502, -96.0814552339606)"
A     ,Beer on sale,KING FONG CAFE                      ,"315 1 2 S 16 STREET
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
A     ,Beer on sale,MILT'S GOLF CENTER                  ,"6402 Q STREET
OMAHA, NE
(41.20524718815028, -96.01234576787232)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"2429 132 STREET
OMAHA, NE
(41.23634489276443, -96.11944241548491)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"2579 171 COURT
OMAHA, NE
(41.23518444307713, -96.1836179331093)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"1040 74 PLAZA
OMAHA, NE
(41.24928392790304, -96.02789806326493)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"4303 72 STREET
OMAHA, NE
(41.21647689934639, -96.02373924318967)"
A     ,Beer on sale,PEPPERJAX GRILL                     ,"1221 HOWARD STREET
OMAHA, NE
(41.25539252104522, -95.93216466228597)"
A     ,Beer on sale,ROMONA'S                            ,"6502 NO 30TH ST
OMAHA, NE
(41.31779734011718, -95.95655182917454)"
A     ,Beer on sale,SPRING LAKE GOLF COURSE             ,"4020 HOCTOR BLVD
OMAHA, NE
(41.222011584520025, -95.93979668311796)"
A     ,Beer on sale,SKATEDAZE.COM                       ,"3616 132 STREET
OMAHA, NE
(41.224707820647716, -96.11999433557175)"
A     ,Beer on sale,TAQUERIA VALADEZ                    ,"6621 RAILROAD AVE
OMAHA, NE
(41.19298043567062, -95.93884417841764)"
A     ,Beer on sale,TAQUERIA LA ESMERALDA               ,"3215 Q STREET
OMAHA, NE
(41.20547201865759, -95.9617499105039)"
B     ,Beer off sale,ANDERSON BROTHERS AMOCO             ,"14403 FRONTIER RD
OMAHA, NE
(41.159147940928335, -96.14027432654024)"
B     ,Beer off sale,ANDERSON AMOCO FOOD SHOP & SERVICE  ,"13746 Q STREET
OMAHA, NE
(41.20521121526912, -96.12834931643175)"
B     ,Beer off sale,BUCK'S                              ,"4420 L ST
OMAHA, NE
(41.2125676694688, -95.98084251718598)"
B     ,Beer off sale,BUCKY'S EXPRESS 24                  ,"2223 24 STREET
OMAHA, NE
(41.23888867548219, -95.94695248460337)"
B     ,Beer off sale,BIG KMART 4130                      ,"5000 L STREET
OMAHA, NE
(41.21252270336731, -95.99164337475787)"
B     ,Beer off sale,BIG RED MINI MART #2744             ,"13525 MILLARD AVE
OMAHA, NE
(41.20906031355452, -96.12520168932917)"
B     ,Beer off sale,CASS GAS N SHOP                     ,"503 33RD ST
OMAHA, NE
(41.26350390223887, -95.96146113987129)"
B     ,Beer off sale,CASEY'S GENERAL STORE 2886          ,"1202 13 STREET
OMAHA, NE
(41.27021136642092, -95.93316145815946)"
B     ,Beer off sale,CIG & SNACK OUTLET                  ,"6818 SO 13TH ST
OMAHA, NE
(41.1912087712729, -95.93351119878389)"
B     ,Beer off sale,CUMING FOOD MART                    ,"4002 CUMING STREET
OMAHA, NE
(41.267947920033066, -95.97351304264714)"
B     ,Beer off sale,EDDY'S                              ,"9645 IDA ST
OMAHA, NE
(41.31979383502221, -96.06438054048766)"
B     ,Beer off sale,EDDYS                               ,"15605 CENTER RD
OMAHA, NE
(41.23386275166382, -96.15894254656347)"
B     ,Beer off sale,EDDY'S                              ,"11919 FORT STREET
OMAHA, NE
(41.30654682153062, -96.09969691657824)"
B     ,Beer off sale,FREIDEN'S SUPERETTE                 ,"561 SO 18TH ST
OMAHA, NE
(41.25489574284435, -95.93978464359397)"
B     ,Beer off sale,FRANK'S FOOD STORE                  ,"5170 Q ST
OMAHA, NE
(41.20527416781118, -95.9957892493129)"
B     ,Beer off sale,GRANDPA'S C-MART                    ,"5018 UNDERWOOD
OMAHA, NE
(41.265135727353, -95.99073202293934)"
B     ,Beer off sale,HOUSE OF SAUSAGE                    ,"2532 SO 24TH ST
OMAHA, NE
(41.23437622867931, -95.94704599532486)"
B     ,Beer off sale,JACOBO'S GROCERY                    ,"4621 SO 24TH ST
OMAHA, NE
(41.212612635570224, -95.94704599532486)"
B     ,Beer off sale,J-N-D GROCERY                       ,"6339 NO 24TH
OMAHA, NE
(41.31606840770622, -95.94686840470514)"
B     ,Beer off sale,KEITH'S AMOCO #1                    ,"5220 NO 90TH ST
OMAHA, NE
(41.30619608593918, -96.05270734054733)"
B     ,Beer off sale,KNJ GROCERY                         ,"3301 CALIFORNIA ST
OMAHA, NE
(41.264709497268825, -95.96154855230154)"
B     ,Beer off sale,LANE'S SHELL                        ,"8724 30TH ST
OMAHA, NE
(41.33927842113722, -95.96131599890805)"
B     ,Beer off sale,MIDTOWN GAS & GROCERY               ,"1222 24TH STREET
OMAHA, NE
(41.27068744526002, -95.9471077683394)"
B     ,Beer off sale,MIDTOWN GAS & GROCERY               ,"1349 PARK AVE
OMAHA, NE
(41.245437889639675, -95.95573344612791)"
B     ,Beer off sale,OMAHA VALERO #102                   ,"2411 30TH ST
OMAHA, NE
(41.23642086136155, -95.95659999526623)"
B     ,Beer off sale,PITSTOP INC                         ,"4015 42ND STREET
OMAHA, NE
(41.220477436742634, -95.97577987453715)"
B     ,Beer off sale,PETROMART                           ,"6508 JOHN
J PERSHING OMAHA, NE
"
B     ,Beer off sale,PHILLIPS 66                         ,"7530 PACIFIC STREET
OMAHA, NE
(41.24881034724956, -96.0310516660818)"
B     ,Beer off sale,PAUL'S MILLARD SINCLAIR             ,"13205 MILLARD AVE
OMAHA, NE
(41.21183022540475, -96.12092091646974)"
B     ,Beer off sale,SPEEDEE MART #2730                  ,"4334 84 STREET
OMAHA, NE
(41.21715155055231, -96.04318445584255)"
B     ,Beer off sale,SPEEDEE MART #2745                  ,"2920 120TH STREET
OMAHA, NE
(41.23212631367314, -96.10081234345823)"
B     ,Beer off sale,S & S SERVICE                       ,"5920 SORENSON PKWY
OMAHA, NE
(41.317726257813604, -96.00335091047283)"
B     ,Beer off sale,SNACK ATTACK                        ,"4854 Q ST
OMAHA, NE
(41.20531913391261, -95.98810903918269)"
B     ,Beer off sale,SNACK ATTACK                        ,"4854 Q STREET
OMAHA, NE
(41.20531913391261, -95.98810903918269)"
B     ,Beer off sale,99¢ STORE GROCERY & VARIETY         ,"4205 REDMAN AVENUE
OMAHA, NE
(41.309963593472105, -95.97766984552352)"
C     ,Beer/liquor on/off sale,ABSOLUTELY FRESH SEAFOOD COMPANY    ,"1218 119 STREET
OMAHA, NE
(41.247586046784804, -96.0988398982472)"
C     ,Beer/liquor on/off sale,AUSSIE'S PUB                        ,"2326 NO 72ND ST
OMAHA, NE
(41.27985606430407, -96.02396739431924)"
C     ,Beer/liquor on/off sale,A J'S SPORTS BAR                    ,"5305 SO 96TH ST
OMAHA, NE
(41.20589020138173, -96.0619408022764)"
C     ,Beer/liquor on/off sale,ATTIC BAR & GRILL                   ,"3231 HARNEY STREET
OMAHA, NE
(41.25662418119809, -95.95999714946504)"
C     ,Beer/liquor on/off sale,ADDY'S SPORTS GRILL & BAR           ,"13806 P STREET
OMAHA, NE
(41.20665013051598, -96.13048070964118)"
C     ,Beer/liquor on/off sale,ALPINE INN                          ,"10405 CALHOUN RD
OMAHA, NE
(41.35357237044275, -95.97382780535742)"
C     ,Beer/liquor on/off sale,ALDERMAN'S BAR                      ,"3216 LEAVENWORTH
OMAHA, NE
(41.252444471706724, -95.96047557669276)"
C     ,Beer/liquor on/off sale,ANCHOR INN                          ,"2499 FREEDOM PARK RD
OMAHA, NE
(41.27791240811774, -95.8988243481138)"
C     ,Beer/liquor on/off sale,ANDY'S PLACE                        ,"3701 F STREET
OMAHA, NE
(41.2197442592626, -95.96894448673834)"
C     ,Beer/liquor on/off sale,ANTHONY'S RESTAURANT & LOUNGE       ,"7220 F ST
OMAHA, NE
(41.219726272822015, -96.0251161406884)"
C     ,Beer/liquor on/off sale,AMERICAN LEGION 1                   ,"7811 DAVENPORT ST
OMAHA, NE
(41.26114005227129, -96.03701417113604)"
C     ,Beer/liquor on/off sale,AMERICAN LEGION 331                 ,"4830 21 STREET
OMAHA, NE
(41.210186820855085, -95.94308990626196)"
C     ,Beer/liquor on/off sale,AMERICAN LEGION 374                 ,"14326 46 U STREET
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,ARTHURS 4 SEASONS                   ,"222 226 N 114TH ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,ARENA SPORTS BAR & GRILL            ,"3809 90 STREET
OMAHA, NE
(41.293646844632526, -96.05266316328475)"
C     ,Beer/liquor on/off sale,BUFFALO WILD WINGS GRILL & BAR      ,"4287 144 STREET
OMAHA, NE
(41.29517521553574, -96.13877187904014)"
C     ,Beer/liquor on/off sale,BOB MONKEYS NOODLE ZOO              ,"4950 DODGE STREET
OMAHA, NE
(41.2596921438041, -95.98935909680341)"
C     ,Beer/liquor on/off sale,BISHOP'S BAR & GRILL                ,"1901 HARNEY STREET
OMAHA, NE
(41.25650768036161, -95.94092440020361)"
C     ,Beer/liquor on/off sale,BIG FRED'S PIZZA                    ,"1101 21 S 119 STREET
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,BUCKY DEXTER'S                      ,"4213 15 SO 84TH ST
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,BAJA GRILL                          ,"2523 140 AVENUE
OMAHA, NE
(41.23449026971096, -96.13542042463051)"
C     ,Beer/liquor on/off sale,BAGDAD LOUNGE                       ,"2823 84 STREET
OMAHA, NE
(41.23310530593466, -96.0430316476869)"
C     ,Beer/liquor on/off sale,BAG N SAVE                          ,"2650 90TH STREET
OMAHA, NE
(41.234734867997005, -96.05268210153709)"
C     ,Beer/liquor on/off sale,BISTRO 121                          ,"12129 CENTER RD
OMAHA, NE
(41.23392960536295, -96.10230559429178)"
C     ,Beer/liquor on/off sale,BIG TEN SPORTS BAR                  ,"8414 18 Q STREET
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,BAG 'N SAVE                         ,"7646 DODGE ST
OMAHA, NE
(41.2596921438041, -96.03279635081861)"
C     ,Beer/liquor on/off sale,BAG 'N SAVE                         ,"14444 CENTER RD
OMAHA, NE
(41.233956912322675, -96.1396835816249)"
C     ,Beer/liquor on/off sale,BAG N SAVE                          ,"15370 WEIR STREET
OMAHA, NE
(41.20626342204338, -96.15546387561511)"
C     ,Beer/liquor on/off sale,BAKER'S SUPERMARKET 315             ,"13250 MAPLE RD
OMAHA, NE
(41.29231141726564, -96.12054545840586)"
C     ,Beer/liquor on/off sale,BAKER'S SUPERMARKET 312             ,"5222 136 STREET
OMAHA, NE
(41.204325465498975, -96.12561929357639)"
C     ,Beer/liquor on/off sale,BAKER'S SUPERMARKET 311             ,"5555 90 STREET
OMAHA, NE
(41.20213730679139, -96.05231312751728)"
C     ,Beer/liquor on/off sale,BAKER'S SUPERMARKET 301             ,"4405 72 STREET
OMAHA, NE
(41.21599293752148, -96.02373924318967)"
C     ,Beer/liquor on/off sale,BAKER'S SUPERMARKET 302             ,"12025 CENTER RD
OMAHA, NE
(41.23392665510366, -96.10106058486616)"
C     ,Beer/liquor on/off sale,BAKER'S SUPERMARKET 316             ,"7312 30 STREET
OMAHA, NE
(41.32651915990344, -95.95773457173222)"
C     ,Beer/liquor on/off sale,BIG RED KENO BAR & GRILL            ,"8100 CASS STREET
OMAHA, NE
(41.26336137768362, -96.03935240841224)"
C     ,Beer/liquor on/off sale,BELLA VITA RISTORANTE               ,"2620 MAIN STREET
OMAHA, NE
(41.282576353812296, -96.23714440205255)"
C     ,Beer/liquor on/off sale,BILLY FROGG'S GRILL & BAR WEST      ,"8724 DODGE ROAD
OMAHA, NE
(41.263445116176015, -96.0487994227688)"
C     ,Beer/liquor on/off sale,BILL'S BAR BE QUE                   ,"4414 NO 24TH
OMAHA, NE
(41.298812950335645, -95.94704257467582)"
C     ,Beer/liquor on/off sale,BLUE SUSHI SAKE GRILL               ,"416 12TH STREET
OMAHA, NE
(41.262845933008286, -95.93191182924907)"
C     ,Beer/liquor on/off sale,BILLY FROGG'S                       ,"1120 HOWARD STREET
OMAHA, NE
(41.255502166606334, -95.9308257167752)"
C     ,Beer/liquor on/off sale,BONES                               ,"1012 10TH STREET
OMAHA, NE
(41.24986623374765, -95.92939457841177)"
C     ,Beer/liquor on/off sale,BOONDOCKERS                         ,"5222 120 ST
OMAHA, NE
(41.205007622457124, -96.10071516822494)"
C     ,Beer/liquor on/off sale,BOHEMIAN CAFE                       ,"1406 1410 SO 13TH
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
C     ,Beer/liquor on/off sale,BAR FLY                             ,"707 114TH ST
OMAHA, NE
(41.26649420816718, -96.09095152281297)"
C     ,Beer/liquor on/off sale,BARRY O'S                           ,"420 SO 10TH ST
OMAHA, NE
(41.25628012885517, -95.92933033043016)"
C     ,Beer/liquor on/off sale,BROOK PARK LOUNGE                   ,"3015 90 STREET
OMAHA, NE
(41.286293421835474, -96.05231836089972)"
C     ,Beer/liquor on/off sale,BURKE'S OF BALLYSHANNON             ,"6117 MAPLE STREET
OMAHA, NE
(41.28499906570863, -96.00793908992875)"
C     ,Beer/liquor on/off sale,BREWSKY'S FOOD & SPIRITS            ,"8528 PARK DRIVE
OMAHA, NE
(41.20138799662341, -96.04422103738304)"
C     ,Beer/liquor on/off sale,BREWSKY'S PARK DRIVE BOTTLE SHOP    ,"8524 PARK DRIVE
OMAHA, NE
(41.20135499192325, -96.04416946753902)"
C     ,Beer/liquor on/off sale,BRASS KNOCKER LOUNGE                ,"3012 102 STREET
OMAHA, NE
(41.23147688485924, -96.07254599259329)"
C     ,Beer/liquor on/off sale,BEER CITY                           ,"4147 L STREET
OMAHA, NE
(41.212621628790544, -95.975932218906)"
C     ,Beer/liquor on/off sale,BROOKHILL COUNTRY CLUB              ,"1900 COLE CREEK DR
OMAHA, NE
(41.27636557422733, -96.03562921521092)"
C     ,Beer/liquor on/off sale,BRIX WINE & SPIRITS EMPORIUM        ,"255 NO 170TH ST
OMAHA, NE
(41.26019217778028, -96.18114974745188)"
C     ,Beer/liquor on/off sale,"BRASS MONKEY SPORTS BAR, THE        ","5611 SO 36TH STREET
OMAHA, NE
(41.201240411191876, -95.96729780950834)"
C     ,Beer/liquor on/off sale,BROKEN RAIL INN                     ,"4910 NO 16TH ST
OMAHA, NE
(41.303731943578896, -95.93734231062871)"
C     ,Beer/liquor on/off sale,BARRETT'S BARLEYCORN                ,"4322 LEAVENWORTH ST
OMAHA, NE
(41.25239864214649, -95.97804562567484)"
C     ,Beer/liquor on/off sale,BROADMOOR MARKET                    ,"8722 PACIFIC ST
OMAHA, NE
(41.24885617680985, -96.04792710671582)"
C     ,Beer/liquor on/off sale,BROTHER SEBASTIAN'S STEAK HOUSE     ,"1350 SO 119TH ST
OMAHA, NE
(41.245973154758794, -96.09861115540802)"
C     ,Beer/liquor on/off sale,"BROTHERS LOUNGE, THE                ","3812 FARNAM STREET
OMAHA, NE
(41.25774960822082, -95.96957401215883)"
C     ,Beer/liquor on/off sale,BARLEY STREET TAVERN                ,"2735 62ND ST
OMAHA, NE
(41.28383516865492, -96.00831579469022)"
C     ,Beer/liquor on/off sale,BARNEY'S 308                        ,"308 24 STREET
OMAHA, NE
(41.261733531981726, -95.94700102555588)"
C     ,Beer/liquor on/off sale,BEER AND LOATHING IN DUNDEE         ,"4949 UNDERWOOD AVE
OMAHA, NE
(41.2650790827596, -95.99006956120655)"
C     ,Beer/liquor on/off sale,BROWN DERBY LOUNGE                  ,"4036 SO 24TH ST
OMAHA, NE
(41.21986117112641, -95.94702800888427)"
