RestaurantName,Rating,InspectionDate,Location 1
ABSOLUTELY FRESH SEAFOOD CO,EXCELLENT,05/04/2011 12:00 AM,"1218 SO 119TH ST
Omaha, NE
(41.247586046784804, -96.0988398982472)"
A CATERED AFFAIR,EXCELLENT,04/19/2011 12:00 AM,"3016 NO 102 ST
Omaha, NE
(41.2855324694856, -96.07178064315852)"
ACCESS 66 CATERING,EXCELLENT,07/27/2011 12:00 AM,"3534 SO 108 ST
Omaha, NE
(41.22611811103945, -96.0816014910667)"
ACKERMAN ELEM SCHOOL,SUPERIOR,02/09/2011 12:00 AM,"5110 SO 156 ST
Omaha, NE
(41.20709079831033, -96.15809888916101)"
ADAMS ELEM SCHOOL,SUPERIOR,06/16/2011 12:00 AM,"3420 NO 78 ST
Omaha, NE
(41.29057606221326, -96.03357145953242)"
ADDY'S GRILL,EXCELLENT,04/25/2011 12:00 AM,"13806 P ST
Omaha, NE
(41.20665013051598, -96.13048070964118)"
ADOBADO MEXICAN GRILL,STANDARD,07/29/2011 12:00 AM,"3034 SO 20 ST
Omaha, NE
(41.23142192277632, -95.94225035597766)"
AFOMA CORNER STORE,STANDARD,03/03/2011 12:00 AM,"5522 SO 30 ST
Omaha, NE
(41.20184775087955, -95.95773893425326)"
AFRICAN FARMS,EXCELLENT,02/23/2011 12:00 AM,"2319 NO 90 ST
Omaha, NE
(41.27983415899784, -96.05247870670514)"
AGAVE,STANDARD,04/27/2011 12:00 AM,"5013 UNDERWOOD AVE
Omaha, NE
(41.2650790827596, -95.99081599849092)"
A GIRLS BEST FRIEND,EXCELLENT,06/10/2011 12:00 AM,"4655 LEAVENWORTH
Omaha, NE
(41.25236263594417, -95.9837255013099)"
A HILL OF BEANS INC,EXCELLENT,07/22/2011 12:00 AM,"14512 W CENTER RD
Omaha, NE
(41.23396811977316, -96.14099684747259)"
AHMAD'S PERSIAN RESTAURANT,STANDARD,05/03/2011 12:00 AM,"1006 HOWARD ST
Omaha, NE
(41.25544734382578, -95.929554181855)"
A J ICE CREAM (seasonal),EXCELLENT,05/18/2011 12:00 AM,"3650 CROWN PT AVE
Omaha, NE
(41.31303992658218, -95.96821603589461)"
AKSARBEN CINEMA,STANDARD,03/09/2011 12:00 AM,"2110 SO 67 ST
Omaha, NE
(41.23984199045801, -96.01470360888695)"
ALDERMAN'S BAR,STANDARD,02/03/2011 12:00 AM,"3216 LEAVENWORTH ST.
Omaha, NE
(41.25238964892617, -95.96102145966017)"
ALDI FOODS,EXCELLENT,04/25/2011 12:00 AM,"4801 NO 30 ST
Omaha, NE
(41.30232000799293, -95.95654283595428)"
ALDI FOODS #41,EXCELLENT,04/29/2011 12:00 AM,"4525 DAHLMAN AVE
Omaha, NE
(41.21401557793598, -95.9584224189955)"
ALDI FOODS #42,EXCELLENT,03/02/2011 12:00 AM,"2502 SO 133 PLZ
Omaha, NE
(41.23578816426533, -96.12155943511056)"
ALDI FOODS #75,EXCELLENT,04/05/2011 12:00 AM,"3433 NO 90TH STREET
Omaha, NE
(41.29052989618879, -96.05277928630966)"
ALDRICH ELEM SCHOOL,SUPERIOR,02/08/2011 12:00 AM,"506 NO 162ND AVE
Omaha, NE
(41.26448553022027, -96.16847706537914)"
ALEGENT HEALTH LAKESIDE HOSP,EXCELLENT,05/24/2011 12:00 AM,"16901 LAKESIDE HILLS
Omaha, NE
(41.260689999643944, -95.94059000012828)"
ALEXANDER'S BBQ CATERING,STANDARD,06/17/2011 12:00 AM,"4011 CUMING ST
Omaha, NE
(41.267947920033066, -95.97353102908772)"
ALL AMERICAN PROPERTIES,FAIR,02/17/2011 12:00 AM,"4219 NO 60 ST
Omaha, NE
(41.29754417294296, -96.00463573310805)"
ALL NATIONS CLOTHING & GROCERIES,STANDARD,05/09/2011 12:00 AM,"7328 MAPLE ST
Omaha, NE
(41.28513396401303, -96.0266809610194)"
ALL NATIONS GROCERIES,STANDARD,06/28/2011 12:00 AM,"715 SO 24 ST
Omaha, NE
(41.25258749977263, -95.9470370021046)"
ALPINE INN,EXCELLENT,03/17/2011 12:00 AM,"10405 CALHOUN ROAD
Omaha, NE
(41.35357237044275, -95.97382780535742)"
AL VEYS YOUTH SPORTS COMPLEX,STANDARD,05/23/2011 12:00 AM,"6102 SO 60 ST
Omaha, NE
(41.19571165749254, -96.00696245098113)"
AMATO'S FOODS INC,EXCELLENT,04/21/2011 12:00 AM,"6405 CENTER ST
Omaha, NE
(41.237847611712425, -96.01230979499115)"
AMAZING PIZZA MACHINE (THE),EXCELLENT,08/01/2011 12:00 AM,"13955 SO S PLZ
Omaha, NE
(41.20298573632569, -96.13170859503782)"
AMC OAKVIEW 24 THEATRES,STANDARD,04/22/2011 12:00 AM,"3555 SO 140 PLZ
Omaha, NE
(41.22528408296307, -96.13193761132862)"
AMCON DISTRIBUTING,EXCELLENT,07/27/2011 12:00 AM,"7405 IRVINGTON RD
Omaha, NE
(41.326601702784046, -96.06177250660267)"
AMERICAN BOTTLING COMPANY,EXCELLENT,04/18/2011 12:00 AM,"701 NO 108 CIR
Omaha, NE
(41.26596701145903, -96.08131760938885)"
AMERICAN G I FORUM,STANDARD,02/10/2010 12:00 AM,"2002 NO 20 ST
Omaha, NE
(41.276951756253354, -95.94236981191607)"
AMERICAN LEGION POST #1,STANDARD,03/05/2010 12:00 AM,"7811 DAVENPORT ST
Omaha, NE
(41.26114005227129, -96.03701417113604)"
AMERICAN LEGION POST #331,STANDARD,03/29/2010 12:00 AM,"4830 SO 21 ST
Omaha, NE
(41.210364330496986, -95.94301703263358)"
A MERRY OCCASION,STANDARD,10/28/2010 12:00 AM,"3205 HARNEY ST
Omaha, NE
(41.25667941500592, -95.95984334780178)"
AMES AVE CONVENIENCE,EXCELLENT,06/24/2011 12:00 AM,"4145 AMES AVE
Omaha, NE
(41.29957707580354, -95.97544658501016)"
AMIGO'S,FAIR,07/28/2011 12:00 AM,"8412 WEST DODGE RD
Omaha, NE
(41.26199440819909, -96.04339935754405)"
AMSTERDAM FALAFEL & KABON,EXCELLENT,03/09/2010 12:00 AM,"620 NO 50 ST
Omaha, NE
(41.26477331326964, -95.99024942561243)"
ANCHOR INN (seasonal),EXCELLENT,04/28/2011 12:00 AM,"2499 FREEDOM PARK RD
Omaha, NE
(41.27791240811774, -95.8988243481138)"
ANDERSON AMOCO FOOD SHOP,EXCELLENT,04/29/2011 12:00 AM,"17915 ARBOR ST
Omaha, NE
(41.23736197781659, -96.19535780083487)"
ANDERSON AMOCO FOOD SHOP,STANDARD,08/01/2011 12:00 AM,"11955 PACIFIC ST
Omaha, NE
(41.248684442165484, -96.10011959793201)"
ANDERSON AMOCO FOOD SHOP,STANDARD,03/15/2011 12:00 AM,"123 NO 114 ST
Omaha, NE
(41.25909316445847, -96.09094969983065)"
ANDERSON AMOCO FOOD SHOP,STANDARD,08/02/2011 12:00 AM,"15635 W DODGE RD
Omaha, NE
(41.26240809633259, -96.1592230416976)"
ANDERSON BP AMOCO,EXCELLENT,10/29/2010 12:00 AM,"3423 S 72 ST
Omaha, NE
(41.227181652444926, -96.02388406950826)"
ANDERSON FOOD SHOPS,STANDARD,07/25/2011 12:00 AM,"445 NO 114 ST
Omaha, NE
(41.26248903531524, -96.09098248611434)"
ANDERSON STANDARD SERVICE,STANDARD,05/19/2011 12:00 AM,"2630 SO 140 ST
Omaha, NE
(41.23453810664461, -96.13405101809752)"
ANDY'S PLACE,EXCELLENT,11/05/2010 12:00 AM,"3701 F ST
Omaha, NE
(41.2197442592626, -95.96894448673834)"
ANGELO'S ITALIANO,STANDARD,07/22/2011 12:00 AM,"210 SO 16 ST STE 109F
Omaha, NE
(41.25834316076015, -95.93718043266347)"
ANTHONYS RESTAURANT & LOUNGE,STANDARD,02/28/2011 12:00 AM,"7220 F ST
Omaha, NE
(41.219726272822015, -96.0251161406884)"
A PLUS BUFFET,STANDARD,06/06/2011 12:00 AM,"14422 W CENTER RD
Omaha, NE
(41.233959749604615, -96.13925798933276)"
APPLEBEE'S NEIGH BAR/GRILL,EXCELLENT,07/13/2011 12:00 AM,"13208 W MAPLE RD
Omaha, NE
(41.29231141726564, -96.11990916322665)"
APPLEBEE'S NEIGH BAR/GRILL,EXCELLENT,07/06/2011 12:00 AM,"2829 SO 181ST ST
Omaha, NE
(41.232487652417774, -96.19721939743556)"
APPLEBEE'S NEIGH BAR/GRILL,EXCELLENT,07/18/2011 12:00 AM,"6222 NO 72 ST
Omaha, NE
(41.31527923843515, -96.02394702205032)"
APPLEBEE'S NEIGH BAR/GRILL,EXCELLENT,04/23/2010 12:00 AM,"7450 DODGE ST
Omaha, NE
(41.25968315058378, -96.02886631355057)"
APPLEBEE'S NEIGH BAR/GRILL,EXCELLENT,03/24/2011 12:00 AM,"3350 SO 143 PLAZA
Omaha, NE
(41.2283777507439, -96.13745045536825)"
APPLE BUFFET,FAIR,04/28/2010 12:00 AM,"5352 SO 136 ST
Omaha, NE
(41.203461864655786, -96.12468140448863)"
APPLE VENDING,STANDARD,03/25/2011 12:00 AM,"3316 SO 66 AVE CIR
Omaha, NE
(41.22841372362507, -96.01510668650229)"
ARAMARK/CONAGRA,EXCELLENT,07/20/2011 12:00 AM,"5645 NO 90 ST
Omaha, NE
(41.311248844894294, -96.05245448872223)"
ARAMARK/CONAGRA,SUPERIOR,09/23/2010 12:00 AM,"ELEVEN CON AGRA DR
Omaha, NE
(41.253258671027396, -95.92508171749877)"
ARAMARK CORP,SUPERIOR,07/22/2011 12:00 AM,"7350 WORLD COMMUNICATION DR
Omaha, NE
(41.33715095226073, -96.02654047382457)"
ARAMARK CORP,SUPERIOR,04/25/2011 12:00 AM,"ONE CON AGRA DR
Omaha, NE
(41.256304330914986, -95.92732231549334)"
ARAMARK REFRESHMENT SERVICE,EXCELLENT,06/08/2011 12:00 AM,"4415 SO 89TH ST
Omaha, NE
(41.21579623555397, -96.04895716768516)"
ARBORETUM ON FARNAM (THE),EXCELLENT,07/06/2011 12:00 AM,"8141 FARNAM DR
Omaha, NE
(41.25880181499508, -96.03961321180071)"
ARBY'S ROAST BEEF REST,EXCELLENT,02/24/2011 12:00 AM,"4615 NO 72 St
Omaha, NE
(41.30072820800109, -96.02376715764444)"
ARBY'S ROAST BEEF REST,EXCELLENT,04/06/2010 12:00 AM,"10200 W DODGE RD
Omaha, NE
(41.263488146226564, -96.06993929033337)"
ARBY'S ROAST BEEF REST,EXCELLENT,06/16/2010 12:00 AM,"4358 DODGE ST
Omaha, NE
(41.25967415736352, -95.97845931380829)"
ARBY'S ROAST BEEF REST,EXCELLENT,02/08/2011 12:00 AM,"3001 SO 144TH ST
Omaha, NE
(41.229154416997, -96.1383808984178)"
ARBY'S ROAST BEEF REST,EXCELLENT,02/11/2011 12:00 AM,"5029 SO 108 ST
Omaha, NE
(41.208439781354286, -96.08142269294285)"
ARBY'S ROAST BEEF REST,EXCELLENT,02/23/2011 12:00 AM,"17220 W CENTER RD
Omaha, NE
(41.23419636427343, -96.18408030258746)"
ARBY'S ROAST BEEF REST,EXCELLENT,03/28/2011 12:00 AM,"2910 SO 120 ST
Omaha, NE
(41.23219087614808, -96.10074013013224)"
ARBY'S ROAST BEEF REST,EXCELLENT,04/18/2011 12:00 AM,"8429 W CENTER RD
Omaha, NE
(41.23422334393433, -96.04496417787504)"
ARBY'S ROAST BEEF REST,EXCELLENT,05/19/2011 12:00 AM,"14548 W CENTER RD
Omaha, NE
(41.23392656766464, -96.14166827568567)"
ARBY'S ROAST BEEF REST,EXCELLENT,06/02/2011 12:00 AM,"13610 W MAPLE RD
Omaha, NE
(41.292236780421874, -96.12637721852595)"
ARBY'S ROAST BEEF REST,EXCELLENT,06/08/2011 12:00 AM,"1736 SO 72 ST
Omaha, NE
(41.24247012694303, -96.02397400171117)"
ARBY'S ROAST BEEF REST,EXCELLENT,06/23/2011 12:00 AM,"3417 NO 90 ST
Omaha, NE
(41.2902870792409, -96.05273432020817)"
ARBY'S ROAST BEEF REST,EXCELLENT,06/28/2011 12:00 AM,"5323 CENTER ST
Omaha, NE
(41.24054192019026, -95.99569147097435)"
ARBY'S ROAST BEEF REST,STANDARD,06/30/2011 12:00 AM,"BOX 644 ELKHORN
Omaha, NE
(41.260689999643944, -95.94059000012828)"
ARBY'S ROAST BEEF REST,EXCELLENT,07/26/2011 12:00 AM,"14145 S ST
Omaha, NE
(41.20394317120781, -96.13530107571825)"
ARBY'S ROAST BEEF REST,EXCELLENT,07/28/2011 12:00 AM,"4144 SO 50TH
Omaha, NE
(41.21794229947523, -95.99040444786029)"
ARCTIC GLACIER ICE CO,EXCELLENT,03/01/2011 12:00 AM,"8211 F ST
Omaha, NE
(41.21972084596847, -96.04103869591822)"
ARENA SPORTS BAR & GRILL,EXCELLENT,09/16/2010 12:00 AM,"3809 NO 90 ST
Omaha, NE
(41.294289062271275, -96.05259042868352)"
ARTHUR'S 4 SEASONS,EXCELLENT,11/16/2010 12:00 AM,"222 NO 114 ST
Omaha, NE
(41.25977834607053, -96.09107845385859)"
ASHLAND PARK/ROBBINS ELEM,SUPERIOR,11/17/2010 12:00 AM,"5050 SO 51ST
Omaha, NE
(41.20793301983462, -95.9930449192114)"
ASIAN FAMILY MARKET,STANDARD,07/21/2011 12:00 AM,"1510 NW RADIAL HWY
Omaha, NE
(41.273291950314736, -95.98362242109715)"
ASIAN FOOD MART,STANDARD,04/30/2010 12:00 AM,"7635 CASS ST
Omaha, NE
(41.26323460914074, -96.03281942737287)"
ASIAN MARKET,STANDARD,10/04/2010 12:00 AM,"321 NO 76 ST
Omaha, NE
(41.26174471136048, -96.03135194313306)"
ASIAN WOK,STANDARD,04/11/2011 12:00 AM,"2666 NO 90 ST
Omaha, NE
(41.283492920658496, -96.0527713030624)"
ASSUMPTION SCHOOL,EXCELLENT,09/27/2010 12:00 AM,"5601 SO 22 ST
Omaha, NE
(41.201703859354836, -95.94431205635578)"
ATHENIAN GYROS,EXCELLENT,07/22/2011 12:00 AM,"210 SO 16 ST
Omaha, NE
(41.25834316076015, -95.93718043266347)"
ATTIC BAR & GRILL,STANDARD,03/01/2011 12:00 AM,"3231 HARNEY ST
Omaha, NE
(41.25662418119809, -95.95999714946504)"
ATTITUDE ON FOOD,EXCELLENT,03/15/2010 12:00 AM,"2405 N ST
Omaha, NE
(41.20948213144948, -95.9475849645414)"
AUNTIE ANNE'S - OAKVIEW MALL,EXCELLENT,07/08/2011 12:00 AM,"3001 SO 144 ST
Omaha, NE
(41.229154416997, -96.1383808984178)"
AUNTIE ANNE'S - WESTROADS,STANDARD,07/25/2011 12:00 AM,"10000 CALIFORNIA
Omaha, NE
(41.264523028662666, -96.06701102755102)"
AUSSIE'S PUB INC,EXCELLENT,03/24/2011 12:00 AM,"2326 NO 72 ST
Omaha, NE
(41.27985606430407, -96.02396739431924)"
AVANZA SUPERMARKET,STANDARD,03/21/2011 12:00 AM,"2900 LEAVENWORTH ST
Omaha, NE
(41.25241662858707, -95.95487009697979)"
AVP ENERGY #3 - SINCLAIR,EXCELLENT,07/21/2011 12:00 AM,"10505 PACIFIC ST
Omaha, NE
(41.24871142182633, -96.07714192008342)"
BABY BLUE SUSHI SAKE GRILL,EXCELLENT,01/27/2011 12:00 AM,"16939 WRIGHT PLZ
Omaha, NE
(41.23298589018061, -96.17848790341061)"
BAGEL BIN INC,EXCELLENT,07/06/2011 12:00 AM,"1215-19 SO 119 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
BAG N SAVE,EXCELLENT,07/05/2011 12:00 AM,"3003 NO 108TH ST
Omaha, NE
(41.28602429282199, -96.08143168616317)"
BAG N SAVE,EXCELLENT,07/15/2011 12:00 AM,"2011 NO 156TH ST
Omaha, NE
(41.27776561536755, -96.15799331196553)"
BAG N SAVE,STANDARD,01/07/2010 12:00 AM,"7646 DODGE ST
Omaha, NE
(41.2596921438041, -96.03279635081861)"
BAG N SAVE,EXCELLENT,07/26/2011 12:00 AM,"5025 GROVER ST
Omaha, NE
(41.226983801598465, -95.99202109001016)"
BAG N SAVE,EXCELLENT,03/02/2011 12:00 AM,"15370 WEIR ST
Omaha, NE
(41.20626342204338, -96.15546387561511)"
BAG N SAVE,STANDARD,04/14/2011 12:00 AM,"1826 VINTON ST
Omaha, NE
(41.2321998693684, -95.94105651060971)"
BAG N SAVE,EXCELLENT,05/13/2011 12:00 AM,"770 NO 114 ST
Omaha, NE
(41.267374048156086, -96.0922054279087)"
BAG N SAVE,STANDARD,06/29/2011 12:00 AM,"14444 W CENTER RD
Omaha, NE
(41.23390858122406, -96.14068801467374)"
BAG N SAVE,STANDARD,07/06/2011 12:00 AM,"5110 SO 108TH ST
Omaha, NE
(41.20629040170428, -96.08148564548492)"
BAG N SAVE #8,EXCELLENT,06/08/2011 12:00 AM,"2646 NO 90TH ST
Omaha, NE
(41.28330735323411, -96.0527713030624)"
BAILEY'S,EXCELLENT,02/22/2011 12:00 AM,"1259 SO 120 ST
Omaha, NE
(41.246753266953064, -96.10056784061096)"
BAJA GRILL,STANDARD,07/29/2011 12:00 AM,"2523 SO 140 AVE
Omaha, NE
(41.23449026971096, -96.13542042463051)"
BAKER'S #301,EXCELLENT,04/15/2011 12:00 AM,"4405 NO 72 ST
Omaha, NE
(41.29854285546986, -96.02376715764444)"
BAKER'S #302,EXCELLENT,05/16/2011 12:00 AM,"12025 W CENTER RD
Omaha, NE
(41.23398052698644, -96.10163945216152)"
BAKER'S #311,STANDARD,04/11/2011 12:00 AM,"5555 NO 90 ST
Omaha, NE
(41.31031116804578, -96.05245449069561)"
BAKER'S #312,STANDARD,03/18/2010 12:00 AM,"5222 SO 136 ST
Omaha, NE
(41.20436585256158, -96.1255704113612)"
BAKER'S #315,EXCELLENT,02/25/2011 12:00 AM,"13250 W MAPLE RD
Omaha, NE
(41.29225659448508, -96.119886696136)"
BAKER'S #316,EXCELLENT,07/19/2011 12:00 AM,"7312 NO 30 ST
Omaha, NE
(41.32651915990344, -95.95773457173222)"
BAKER'S #319,STANDARD,04/12/2011 12:00 AM,"888 SO SADDLE CREEK RD
Omaha, NE
(41.25066295062993, -95.9864632798691)"
BAKER'S #320,EXCELLENT,02/07/2011 12:00 AM,"17370 LAKESIDE HILL PLZ
Omaha, NE
(41.235583988825105, -96.18645123272648)"
BAKER'S #321,EXCELLENT,07/19/2011 12:00 AM,"505 NO 155 PLZ
Omaha, NE
(41.2635142624286, -96.15569769934274)"
BANCROFT SCHOOL CAFETERIA,SUPERIOR,06/29/2011 12:00 AM,"2724 RIVERVIEW BLVD.
Omaha, NE
(41.23368375071675, -95.92550723272313)"
BANGKOK CUISINE RESTAURANT,STANDARD,06/02/2011 12:00 AM,"1905 FARNAM ST
Omaha, NE
(41.257523914254705, -95.94124128459949)"
BAR 415,EXCELLENT,05/06/2011 12:00 AM,"415 SO 13 ST
Omaha, NE
(41.256348891912964, -95.93319693587463)"
BARFLY,EXCELLENT,04/21/2011 12:00 AM,"704 NO 114 ST
Omaha, NE
(41.26553773699453, -96.09098248611434)"
BARLEY'S TIP TOP,FAIR,05/10/2010 12:00 AM,"1502 CUMING ST
Omaha, NE
(41.26800318258563, -95.93593675267383)"
BARLEY STREET TAVERN,EXCELLENT,04/18/2011 12:00 AM,"2735 NO 62 ST
Omaha, NE
(41.28416269622136, -96.00838875094342)"
BARNES & NOBLE INC,EXCELLENT,01/20/2011 12:00 AM,"3333 OAKVIEW DRIVE
Omaha, NE
(41.22710071346228, -96.13282794013764)"
BARNES & NOBLE SUPERSTORE,STANDARD,01/21/2010 12:00 AM,"7400 DODGE STREET
Omaha, NE
(41.25971017765339, -96.02679961395792)"
BARNEY'S 308,EXCELLENT,05/11/2011 12:00 AM,"308 SO 24 ST
Omaha, NE
(41.25747314925287, -95.94700200953588)"
BARRETT'S BARLEYCORN,STANDARD,02/28/2011 12:00 AM,"4322 LEAVENWORTH ST
Omaha, NE
(41.25239864214649, -95.97804562567484)"
BARRY O'S,EXCELLENT,06/01/2011 12:00 AM,"420 SO 10 ST
Omaha, NE
(41.25628012885517, -95.92933033043016)"
BASKET FOOD,EXCELLENT,03/17/2011 12:00 AM,"4518 SO 24 ST
Omaha, NE
(41.21415047624038, -95.94704599532486)"
BEADLE MIDDLE SCHOOL,SUPERIOR,02/07/2011 12:00 AM,"18201 JEFFERSON ST
Omaha, NE
(41.19561818314362, -96.19988216310044)"
BEALS SCHOOL CAFETERIA,SUPERIOR,06/09/2011 12:00 AM,"1720 SO 48 ST
Omaha, NE
(41.242317242198, -95.9854200663151)"
BEAR CREEK COFFEE,EXCELLENT,06/15/2011 12:00 AM,"14505 F ST
Omaha, NE
(41.2195823812973, -96.14067002823316)"
BECKER DINING HALL,STANDARD,04/27/2010 12:00 AM,"2600 CASS ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
BEER & LOATHING DUNDEE,STANDARD,06/21/2010 12:00 AM,"4949 UNDERWOOD AVE
Omaha, NE
(41.2650790827596, -95.99006956120655)"
BEL-AIR BANQUET ROOM (THE),EXCELLENT,02/14/2011 12:00 AM,"12100 W CENTER RD
Omaha, NE
(41.23414909938711, -96.10197548382024)"
BELLA VITA RISTORANTE,STANDARD,03/10/2011 12:00 AM,"132 MAIN ST
Omaha, NE
(41.281874655269895, -96.23737410217981)"
BELLE RYAN SCHOOL CAFETERIA,EXCELLENT,06/09/2011 12:00 AM,"1807 SO 60 ST
Omaha, NE
(41.24211417354255, -96.00467302913101)"
BELVEDERE SCHOOL CAFETERIA,EXCELLENT,06/20/2011 12:00 AM,"6224 NO 37 ST
Omaha, NE
(41.315063584681226, -95.96863976263097)"
BENE PIZZA & PASTA,EXCELLENT,07/11/2011 12:00 AM,"12301 W MAPLE RD
Omaha, NE
(41.29216543699027, -96.1035189300575)"
BENNINGTON ELEMENTRY,SUPERIOR,03/22/2011 12:00 AM,"156 BENNINGTON RD
Omaha, NE
(41.260689999643944, -95.94059000012828)"
BENNINGTON HIGH SCHOOL,SUPERIOR,04/14/2011 12:00 AM,"11620 OLD BENNINGTON RD
Omaha, NE
(41.260689999643944, -95.94059000012828)"
BENSON GRIND,EXCELLENT,02/23/2011 12:00 AM,"6107 MAPLE ST
Omaha, NE
(41.28494424292808, -96.00750291874456)"
BENSON HIGH SCH CAFETERIA,EXCELLENT,05/19/2011 12:00 AM,"5120 MAPLE ST
Omaha, NE
(41.28499007248831, -95.99348698491792)"
BENSON PARK GOLF COURSE,EXCELLENT,07/27/2011 12:00 AM,"5333 NO 72 ST
Omaha, NE
(41.30491005543729, -96.02377615086476)"
BENSON WEST SCH CAFETERIA,SUPERIOR,06/28/2011 12:00 AM,"6652 MAPLE ST
Omaha, NE
(41.28508086815003, -96.0157752406874)"
BERE'S HALL,STANDARD,02/15/2011 12:00 AM,"5716 SO 36 ST
Omaha, NE
(41.20025595088765, -95.96737067318702)"
BERGAN HOSPITAL (ARCHBISHOP),EXCELLENT,07/13/2011 12:00 AM,"7500 MERCY RD
Omaha, NE
(41.237847611712425, -96.03204092031399)"
BERNIE'S PIZZA PARLOR,EXCELLENT,07/28/2011 12:00 AM,"5092 SO 136 ST
Omaha, NE
(41.20550407920473, -96.12171547859421)"
BEST WESTERN SEVILLE PLAZA,STANDARD,02/11/2010 12:00 AM,"330 NO 30 ST
Omaha, NE
(41.262183265825286, -95.95673169358042)"
BETTER BODIES INC,EXCELLENT,03/03/2011 12:00 AM,"4117 SO 120 ST
Omaha, NE
(41.220087822668646, -96.10068183432617)"
BEVERIDGE JR HIGH SCHOOL,SUPERIOR,04/21/2011 12:00 AM,"1616 SO 120 ST
Omaha, NE
(41.24232623541832, -96.10070415725107)"
BEYOND IRELAND,STANDARD,04/07/2010 12:00 AM,"107 NO 50TH ST
Omaha, NE
(41.25975182228888, -95.99017808207672)"
B & G TASTY TREATS,EXCELLENT,05/03/2010 12:00 AM,"7900 W DODGE RD
Omaha, NE
(41.25992408551596, -96.03743030685767)"
BIAGGI'S RISTORANTE ITALIANO,EXCELLENT,08/01/2011 12:00 AM,"13650 CALIFORNIA ST
Omaha, NE
(41.26601054740358, -96.128406620104)"
BIG BEAR SINCLAIR,EXCELLENT,07/22/2011 12:00 AM,"5822 MAPLE ST
Omaha, NE
(41.28498107926799, -96.00309174419084)"
BIG BOY'S BBQ,STANDARD,04/20/2011 12:00 AM,"5055 SO 108 ST
Omaha, NE
(41.20722569661473, -96.08142269294285)"
BIG FRED LOUNGE AND PIZZA,STANDARD,06/01/2011 12:00 AM,"1101-05 SO 119 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
BIG HORN MOUNTAIN BBQ,STANDARD,04/20/2011 12:00 AM,"2524 SO 13 ST
Omaha, NE
(41.23517662528536, -95.93333133437807)"
BIG JIM'S PLUS,EXCELLENT,05/11/2011 12:00 AM,"3024 AMES AVE
Omaha, NE
(41.29957707580354, -95.95760403594886)"
BIG JOHN'S BILLIARDS INC,STANDARD,06/29/2011 12:00 AM,"9819 M ST
Omaha, NE
(41.21076902541017, -96.06747420826844)"
